transform,severity,accuracy,roc_auc,balanced_accuracy,n
clean,0,0.9550561797752809,1.0,0.9661016949152542,89
jpeg,10,0.7865168539325843,0.987005649717514,0.6833333333333333,89
jpeg,30,1.0,1.0,1.0,89
jpeg,50,0.9662921348314607,1.0,0.9745762711864407,89
jpeg,70,0.9550561797752809,1.0,0.9661016949152542,89
jpeg,90,0.9550561797752809,1.0,0.9661016949152542,89
jpeg,95,0.9550561797752809,1.0,0.9661016949152542,89
resize,64,0.9550561797752809,1.0,0.9661016949152542,89
resize,96,0.9550561797752809,1.0,0.9661016949152542,89
resize,160,0.9550561797752809,1.0,0.9661016949152542,89
resize,256,0.9550561797752809,1.0,0.9661016949152542,89
crop,0.9,0.9550561797752809,1.0,0.9661016949152542,89
crop,0.75,0.9213483146067416,0.9988700564971752,0.9406779661016949,89
crop,0.6,0.9101123595505618,0.9994350282485875,0.9322033898305084,89
blur,0.5,0.9550561797752809,1.0,0.9661016949152542,89
blur,1.0,0.9550561797752809,1.0,0.9661016949152542,89
blur,2.0,0.8314606741573034,0.9926553672316385,0.8728813559322034,89
blur,3.0,0.4044943820224719,0.8943502824858757,0.5508474576271186,89
noise,0.01,1.0,1.0,1.0,89
noise,0.05,0.6853932584269663,0.9774011299435028,0.5333333333333333,89
noise,0.1,0.6629213483146067,0.7983050847457626,0.5,89
contrast,0.7,0.9438202247191011,1.0,0.9576271186440678,89
contrast,1.3,0.9662921348314607,1.0,0.9745762711864407,89
brightness,0.7,0.9438202247191011,1.0,0.9576271186440678,89
brightness,1.3,0.9662921348314607,0.9983050847457627,0.9745762711864407,89
gamma,0.7,0.9550561797752809,1.0,0.9661016949152542,89
gamma,1.5,0.9662921348314607,1.0,0.9745762711864407,89
sharpen,1,0.9550561797752809,1.0,0.9661016949152542,89
sharpen,3,0.9887640449438202,1.0,0.9833333333333334,89
jpeg_multiple,5,0.9550561797752809,1.0,0.9661016949152542,89
